,index,counts
385,2023-04-21T03:36:22Z,0
386,2023-04-20T18:42:42Z,0
387,2023-04-18T03:45:32Z,0
388,2023-04-16T14:47:54Z,1
389,2023-04-15T14:58:27Z,0
390,2023-04-15T10:47:44Z,0
391,2023-04-14T17:42:53Z,0
392,2023-04-14T05:52:22Z,0
393,2023-04-14T02:29:49Z,1
394,2023-04-11T17:39:28Z,1
395,2023-04-10T07:21:25Z,1
396,2023-04-07T18:37:30Z,0
397,2023-04-07T08:54:57Z,0
398,2023-04-04T07:54:32Z,0
399,2023-04-03T16:32:26Z,0
400,2023-04-03T09:05:29Z,0
401,2023-03-31T15:36:38Z,2
402,2023-03-31T12:30:11Z,0
403,2023-03-28T20:36:52Z,0
404,2023-03-26T05:19:47Z,0
405,2023-03-25T13:52:38Z,0
406,2023-03-23T17:22:33Z,0
407,2023-03-23T13:00:01Z,0
408,2023-03-22T12:49:04Z,0
409,2023-03-16T10:22:14Z,0
410,2023-03-07T07:36:43Z,0
411,2021-09-02T18:04:08Z,69
412,2023-11-07T21:13:19Z,0
413,2023-11-07T11:32:13Z,0
414,2023-10-18T10:20:13Z,1
415,2023-10-14T03:29:29Z,0
416,2023-10-13T16:20:04Z,0
417,2023-10-03T02:40:34Z,0
418,2023-09-12T09:54:36Z,0
419,2023-09-12T08:43:28Z,0
420,2023-09-05T02:53:14Z,0
421,2023-08-31T08:33:02Z,1
422,2023-08-18T15:00:49Z,0
423,2023-08-17T07:50:57Z,0
424,2023-08-13T22:26:09Z,0
425,2023-08-02T20:26:14Z,1
426,2023-07-13T12:01:39Z,1
427,2023-06-26T00:17:02Z,1
428,2023-06-23T01:24:06Z,1
429,2023-06-15T09:58:25Z,2
430,2023-06-03T16:24:18Z,0
431,2023-05-29T20:11:56Z,0
432,2023-04-30T14:58:50Z,1
433,2023-04-25T07:22:13Z,0
434,2023-04-25T03:23:52Z,1
435,2023-04-22T18:36:39Z,0
436,2023-04-21T03:34:39Z,1
437,2023-04-09T20:19:10Z,1
438,2023-03-20T16:15:47Z,0
439,2023-01-27T03:29:28Z,2
440,2022-08-13T18:11:01Z,2
441,2022-08-11T18:25:04Z,2
442,2022-07-05T11:12:44Z,0
443,2022-07-03T09:15:02Z,1
444,2022-06-23T16:08:18Z,1
445,2022-06-14T16:08:00Z,1
446,2022-05-24T16:12:12Z,2
447,2022-05-16T03:44:30Z,0
448,2022-05-12T07:27:24Z,1
449,2022-04-10T09:00:59Z,1
450,2022-04-08T06:55:45Z,1
451,2022-04-05T06:29:14Z,1
452,2022-03-24T19:30:02Z,0
453,2022-03-11T21:17:30Z,1
454,2022-03-05T17:43:21Z,0
455,2022-03-05T09:13:54Z,2
456,2022-03-05T07:15:11Z,2
457,2022-03-05T04:30:22Z,1
458,2022-02-13T09:40:36Z,1
459,2022-02-03T17:28:50Z,1
460,2022-01-19T12:56:30Z,0
461,2022-01-14T17:16:12Z,1
462,2022-01-05T07:20:43Z,1
463,2021-12-28T11:25:32Z,2
464,2021-12-21T10:08:50Z,1
465,2021-12-08T14:18:59Z,1
466,2021-11-11T16:13:40Z,1
467,2021-10-29T09:43:14Z,1
468,2021-10-27T08:32:07Z,1
469,2021-10-18T06:40:41Z,12
470,2021-10-14T03:47:20Z,1
471,2021-10-13T18:23:30Z,1
472,2021-10-03T11:30:42Z,1
473,2021-10-02T12:54:57Z,1
474,2021-09-30T05:04:38Z,1
475,2021-09-21T07:38:00Z,0
476,2021-09-20T14:51:41Z,2
477,2021-09-15T13:08:19Z,0
478,2021-09-14T07:10:56Z,2
479,2021-09-12T15:00:53Z,2
480,2021-09-03T06:31:19Z,1
481,2021-09-01T03:00:05Z,1
482,2021-08-30T17:59:47Z,1
483,2021-08-30T02:37:25Z,1
484,2021-08-20T09:50:21Z,1
